"","Insult","Comment"
"2",1,"""you're idiot......................."""
"3",1,"""I am a woman Babs, and the only ""war on women"" I see is coming from jackazzes like you. I don't need your protection or your ignorant rhetoric masquerading as representing my best interests. """
"4",1,"""WOW & YOU BENEFITTED SO MANY WINS THIS YEAR FROM HIS BAT NICE STUPID"""
"5",1,"""haha green me red you now loser whos winning now moron"""
"7",1,"""Oh go kiss the ass of a goat....and you DUMMYCRAPS insult veterans....even YOUR Coward-Incompetent-Chief.....everyone of YOU ARE the enemy....and you'll ALL fall.....and hard too BOY."""
"10",1,"""ok but where the hell was it released?you all copy articles from each pther but did anyone do the fucking search to tell us where the fuck was it released?fuck it."""
"11",1,"""@CrankyVince has found our slice of the Internets! FUCK YOU."""
"12",1,"""HAHAHAHAH, you are a delusional moron."""
"14",1,"""wenttoau  He made a prediction just like you, but he doesn't know anything about football. That makes sense. Pffft! You like to dish it out about Bama, but let someone say something about auburn and you start crying, ""idiots"". """
"15",1,"""KATHY LEE....SHUT YOUR PIE HOLE...AND WHATS WITH THAT FACE AND FISH LIPS....DUMB ARSE"""
"16",1,"""You're a crank."""
"19",1,"""Juggalo you suck at trolling """
"23",1,"""no shit.. you must be agenius"""
"25",1,"""are you on 'roids by chance?"""
"26",1,"""You are a disgusting human being"""
"33",1,"""You would know alot about rolls, fat boy"""
"35",1,"""You are a moron. I am a computer guy that has my own company. My mouth will get me in trouble? I doubt it. Stupid M F er.  Again, what is the name of your other account? I know, you do not want say... Douche bag."""
"37",1,"""the phillies are terrible. go back to your cave"""
"38",1,"""You are so naive.....useful idiot."""
"40",1,"""You are an opinionated, uneducated idiot. And Kingdom of Heaven Director's Cut is a masterpiece."""
"41",1,"""Shut up muffin you soft a** b*tch"""
"45",1,"""@Presidentjlh@JenBroflovski you can ask your mom about it"""
"47",1,"""Well i got on here, but i think im might just get back off. See you delusion fans later!!:)"""
"50",1,"""Learn reading comprehension. Sure Urlacher is above average, maybe even great, as I said he's the Dick Butkus of your time. In response to the ""it takes a team"" comment, I just add that it is further proof that the Bears suck. As for Chicago and politics, do you really need to be told about the ""Chicago way""?  It influences everything, even your crappy organization called the Chicago bears. """
"51",1,"""Your mom is better."""
"55",1,"""No personal abuse from me - unless you feel it applies to you and then you're very welcome. Pleasingly, the text you quote supports what I said. Even if it didn't, today it is thought that Canut or Cnut tried to command the waves. The perception is the most important not the fact. Do you see?  There; you've learned not to take things in a mechanical, pedantic, literal sense. At least I hope you've learned.   Anton, a part of your straining brain has indeed 'checked out'; nobody at home.   Your username reveals something of you.  Hope this helps."""
"56",1,"""man i 100% agree with you Shaunie fake ass with them even fake ass tear can cry me a river the bitch just like them to other rats are trying to save face """
"57",1,"""well guess what..... I don't give a fuck lol is mom though get your English right nigga!!"""
"64",1,"""Shouldn't you be at your ballet lesson little girl? """
"66",1,"""Keep whining like a little pu ssy Mack. You are making my day."""
"71",1,"""you must be pretty short bus window lickin special if you aint caught on buy now that  iv been makein all the typos in these comments for shitz and giggles ..if not .your as stupid as you think i am  sure i made a mistake on the ecard but with bigger issues in the world like murder and abused kids i didnt think it was that bigga rats ass to freak out about, hell im glad i made the mistake laughin at yall pinched ass bitches has been really cheap or is that cheep...oh well entertainment is entertainment."""
"74",1,"""When you were potty training how did your mama convince you that you weren't melting?  """
"75",1,"""i bet you cant dance better you dum bitch stfu ... you proably mad a jamaican fucked you and left you , you dum smut """
"76",1,"""You are clearly stupid, that is what he meant you thumb."""
"78",1,"""Sounds like your mother."""
"79",1,"""fuck off indian makes u proud"""
"80",1,"""Okay, you made your point. Hanging around longer means you are flirting with the gay people here."""
"81",1,"""Fuck you asshole! Do you like that?"""
"82",1,"""""<span> I don't care much for the lying degenerate bastards.""</span>\r Then how do you live w/yourself?"""
"86",1,"""expat, you gotta be smoking some of Barry's Maui woowie..."""
"87",1,"""This IS America DOOM, I have been waiting for you fat pepsi drinkingclown-burgereating losers to get destroyed by a superior power. Death to America!"""
"94",1,"""Your statements are idiotic and juvenile."""
"95",1,"""Sounds like YOUR wife has a pen1s...with you that's understandable. """
"97",1,"""And you r sucking my dope dyck to hard. Take your fake ass Chief Keef face up the block."""
"102",1,"""aaronchi...you are too stupid to know sarcasm when it is in your face...Consider yourself castigated, and get lost..."""
"104",1,"""Typical Republican...accept no blame for your repeated clusterfucks and blame anyone other than yourselves.  Grow up."""
"105",1,"""bettynmIt's too bad your not one of the idiots who can read as he's said it's hidden and not buried. As as outsider to your area, I think it's a shame that your so greedy that you don't want to share the beautiful of this land with others too. You sound like a bitter sad person. I'd take bad karma over that, any day."""
"106",1,"""oh like your not stupid you ......."""
"108",1,"""Rookie...run on home...your momma's calling"""
"109",1,"""Your a f ucking idiot.  Enjoy your dream world"""
"110",1,"""You're another fucking idiot who knows nothing about drugs.  WIKIPEDIA HAS THE MOLECULAR FUCKING STRUCTURE OF A GREAT MANY DIFFERENT ILLEGAL DRUGS, FUCKO."""
"113",1,"""u look like a damn fool"""
"114",1,"""Leyland is a total idiot. Is he referring to the fact he is incapable of making a decision """
"116",1,"""wow...bendtner ?.....are you on drugs?....you really fuckedup my day mentioning the name of such a crappy ass player  with the gum in his mouth and playin like a lil bitch"""
"119",1,"""Just face it; you're an IDIOT !!!"""
"120",1,"""whatever soggybutt. i'll say it again. You and your bunch of crackalaks, derelects,river rats, and new south jackwagons need to learn some manners. completely disrespectful and utterlyclassless. """
"121",1,"""ObozoNoMore\u2014gee, your comments are sure enlightening!"""
"122",1,"""While you lame asses watch E3 on your computer... I'll go to E3 in Los Angeles because I have my E3 badge and I didn't pay for shit :D trolololololol....I tell you guys how the game is while im playing it and you will be watching :D"""
"124",1,"""over 68,000 views fuck boy....swallow that"""
"126",1,"""YOU AND THE COON CAN DROP TROW"""
"127",1,"""You are the biggest idiot on these boards.  Typical"""
"128",1,"""What are you smoking?"""
"129",1,"""how old are you 10?...."""
"132",1,"""@Fliphow are you not ded"""
"134",1,"""I use the word damn in a post and you reject it. How about this, FUCK YOU!"""
"135",1,"""Girls need to learn when to shut up, she is beautiful, she knows it and that's all that really matters you don't know if she unhealthy, be quiet with your words of hate we (the majority of women) are tired if the hate."""
"137",1,"""More juvenile idiocy from a juvenile idiot."""
"138",1,"""Oh look we have a little troll named igraymatter67.  Hey libfucktard, why don't you go and perform an impossible act!!!"""
"140",1,"""I don't care how you feel, I don't care what you think about me ... I am, in fact, the rational one in this conversation and you continued display of stupidity is more evidence of your blind allegiance to true source of ""change"" you poltroons think we need - is Marxism. You idiots are plunging headlong to your own destruction and laughing and cheering about it, you a pitiful, pathetic spectacle ..."""
"142",1,"""You mean perfect* But you're stupid, how can you hate white people on the bases of 2 bitches being stupid??"""
"145",1,"""Stop trolling boy. You're embarrassing Beantown."""
"147",1,"""Just like the guys said...  Another fake job.  Wincey Fraudy Woods!!"""
"148",1,"""you are dumb"""
"153",1,"""The murder victim was not impaired. Just because you have drugs in your system does not mean you are impaired and the store manager did not think the murder victim was impaired. you are lying scum"""
"154",1,"""and worse yet....you are ugly and OLD"""
"157",1,"""you dnt like lil b? that's a first, you're a faggot."""
"158",1,"""You are such an idi0t3."""
"160",1,"""Who's the dumb one, UH YOU! GROW UP!"""
"163",1,"""Or not listen to a racist like you."""
"165",1,"""shut the fuck up chiodo you know nothing about soccer"""
"166",1,"""As usual you are clueless.... """
"168",1,"""bitch you were just callin all hispanics mexican? what do you mean grandpa lipsthats rascist as hell. o lawwdddd i'm gonna have you lookin hard in the mirror after all this"""
"169",1,"""As usual, pure hogwash no matter how many fake names you use. You thick or what? Wacko was moron. You lying loser fall into another league.  You don't read well do you? You were taught the truth about wacko's not so giving charities that were nothing but a front. As usual, idiot, uou ignore the truth and post pure lies about the dead pedophile. """
"175",1,"""all your comments so far have been retarded you should go somewhere else"""
